"Date","Price","Open","High","Low","Change %"
"08/30/2024","5.103","5.151","5.164","5.117","-0.10%"
"08/29/2024","5.108","5.160","5.160","5.107","0.29%"
"08/28/2024","5.093","5.141","5.141","5.107","-0.37%"
"08/27/2024","5.112","5.168","5.168","5.124","-0.53%"
"08/26/2024","5.139","5.150","5.186","5.136","-0.06%"
"08/23/2024","5.142","5.178","5.232","5.139","-0.54%"
"08/22/2024","5.170","5.176","5.207","5.157","0.39%"
"08/21/2024","5.150","5.194","5.218","5.142","-0.56%"
"08/20/2024","5.179","5.196","5.223","5.174","-0.52%"
"08/19/2024","5.206","5.238","5.274","5.203","-0.27%"
"08/16/2024","5.220","5.264","5.269","5.209","-0.13%"
"08/15/2024","5.227","5.236","5.259","5.201","0.33%"
"08/14/2024","5.210","5.225","5.285","5.192","0.21%"
"08/13/2024","5.199","5.247","5.247","5.198","-0.29%"
"08/12/2024","5.214","5.245","5.258","5.214","-0.11%"
"08/09/2024","5.220","5.232","5.326","5.217","-0.13%"
"08/08/2024","5.227","5.264","5.297","5.214","0.08%"
"08/07/2024","5.223","5.247","5.257","5.218","0.00%"
"08/06/2024","5.223","5.201","5.247","5.201","0.17%"
"08/05/2024","5.214","5.258","5.260","5.103","0.60%"
"08/02/2024","5.183","5.309","5.341","5.185","-1.54%"
"08/01/2024","5.264","5.310","5.318","5.265","-0.30%"
"07/31/2024","5.280","5.313","5.315","5.289","0.00%"
"07/30/2024","5.280","5.359","5.359","5.293","-0.23%"
"07/29/2024","5.292","5.319","5.346","5.287","-0.11%"
"07/26/2024","5.298","5.329","5.337","5.298","-0.19%"
"07/25/2024","5.308","5.340","5.365","5.305","-0.15%"
"07/24/2024","5.316","5.340","5.350","5.314","-0.15%"
"07/23/2024","5.324","5.328","5.354","5.322","-0.17%"
"07/22/2024","5.333","5.384","5.391","5.331","-0.11%"
"07/19/2024","5.339","5.391","5.394","5.337","-0.09%"
"07/18/2024","5.344","5.394","5.394","5.342","0.04%"
"07/17/2024","5.342","5.361","5.361","5.340","0.00%"
"07/16/2024","5.342","5.341","5.369","5.335","0.06%"
"07/15/2024","5.339","5.378","5.367","5.333","-0.11%"
"07/12/2024","5.345","5.399","5.399","5.342","-0.04%"
"07/11/2024","5.347","5.418","5.427","5.347","-0.50%"
"07/10/2024","5.374","5.392","5.402","5.371","0.00%"
"07/09/2024","5.374","5.385","5.398","5.374","0.17%"
"07/08/2024","5.365","5.414","5.424","5.377","-0.15%"
"07/05/2024","5.373","5.403","5.430","5.385","-0.61%"
"07/04/2024","5.406","5.401","5.406","5.401","0.52%"
"07/03/2024","5.378","5.414","5.414","5.385","-0.09%"
"07/02/2024","5.383","5.408","5.423","5.392","0.34%"
"07/01/2024","5.365","5.384","5.401","5.365","0.04%"
"06/28/2024","5.363","5.394","5.417","5.363","-0.19%"
"06/27/2024","5.373","5.402","5.435","5.373","-0.11%"
"06/26/2024","5.379","5.397","5.397","5.379","0.09%"
"06/25/2024","5.374","5.473","5.473","5.374","0.37%"
"06/24/2024","5.354","5.391","5.411","5.354","-0.21%"
"06/21/2024","5.365","5.425","5.443","5.363","-0.30%"
"06/20/2024","5.381","5.441","5.454","5.376","-0.92%"
"06/19/2024","5.431","5.457","5.457","5.431","0.87%"
"06/18/2024","5.384","5.383","5.413","5.383","-0.17%"
"06/17/2024","5.393","5.423","5.440","5.388","0.13%"
"06/14/2024","5.386","5.422","5.436","5.386","-0.06%"
"06/13/2024","5.389","5.400","5.441","5.389","-0.06%"
"06/12/2024","5.392","5.413","5.413","5.389","-0.06%"
"06/11/2024","5.395","5.399","5.413","5.390","0.28%"
"06/10/2024","5.380","5.422","5.452","5.392","-0.17%"
"06/07/2024","5.389","5.416","5.448","5.396","0.11%"
"06/06/2024","5.383","5.424","5.453","5.398","-0.11%"
"06/05/2024","5.389","5.428","5.428","5.404","-0.11%"
"06/04/2024","5.395","5.416","5.420","5.402","0.07%"
"06/03/2024","5.391","5.424","5.460","5.405","0.00%"
"05/31/2024","5.391","5.440","5.458","5.406","-0.15%"
"05/30/2024","5.399","5.443","5.466","5.411","-0.02%"
"05/29/2024","5.400","5.417","5.417","5.412","0.09%"
"05/28/2024","5.395","5.442","5.446","5.405","-0.91%"
"05/27/2024","5.444","5.437","5.444","5.437","0.90%"
"05/24/2024","5.396","5.435","5.457","5.405","0.00%"
"05/23/2024","5.396","5.441","5.443","5.403","0.02%"
"05/22/2024","5.395","5.412","5.412","5.404","0.11%"
"05/21/2024","5.389","5.421","5.421","5.402","0.07%"
"05/20/2024","5.385","5.443","5.450","5.400","-0.07%"
"05/17/2024","5.389","5.456","5.458","5.401","-0.04%"
"05/16/2024","5.391","5.422","5.479","5.403","0.04%"
"05/15/2024","5.389","5.423","5.438","5.399","0.00%"
"05/14/2024","5.389","5.427","5.427","5.402","0.02%"
"05/13/2024","5.388","5.453","5.458","5.400","-0.06%"
"05/10/2024","5.391","5.456","5.495","5.401","-0.06%"
"05/09/2024","5.394","5.485","5.492","5.403","-0.02%"
"05/08/2024","5.395","5.428","5.428","5.407","0.00%"
"05/07/2024","5.395","5.428","5.504","5.407","0.13%"
"05/06/2024","5.388","5.400","5.405","5.400","0.13%"
"05/03/2024","5.381","5.414","5.505","5.396","-0.15%"
"05/02/2024","5.389","5.454","5.516","5.403","-0.20%"
"05/01/2024","5.400","5.433","5.485","5.412","0.06%"
"04/30/2024","5.397","5.403","5.436","5.403","0.11%"
"04/29/2024","5.391","5.484","5.510","5.405","-0.06%"
"04/26/2024","5.394","5.448","5.505","5.409","-0.19%"
"04/25/2024","5.404","5.443","5.516","5.416","-0.02%"
"04/24/2024","5.405","5.431","5.448","5.415","0.19%"
"04/23/2024","5.395","5.434","5.434","5.410","-0.02%"
"04/22/2024","5.396","5.484","5.533","5.411","-0.02%"
"04/19/2024","5.397","5.471","5.523","5.406","0.02%"
"04/18/2024","5.396","5.467","5.484","5.409","0.13%"
"04/17/2024","5.389","5.420","5.420","5.386","0.04%"
"04/16/2024","5.387","5.410","5.410","5.397","-0.02%"
"04/15/2024","5.388","5.464","5.486","5.395","0.19%"
"04/12/2024","5.378","5.476","5.500","5.393","-0.20%"
"04/11/2024","5.389","5.482","5.510","5.401","-0.06%"
"04/10/2024","5.392","5.412","5.467","5.383","0.39%"
"04/09/2024","5.371","5.450","5.450","5.379","0.00%"
"04/08/2024","5.371","5.399","5.466","5.383","0.09%"
"04/05/2024","5.366","5.399","5.412","5.363","0.21%"
"04/04/2024","5.355","5.381","5.433","5.362","-0.07%"
"04/03/2024","5.359","5.405","5.460","5.371","-0.04%"
"04/02/2024","5.361","5.357","5.421","5.357","-0.11%"
"04/01/2024","5.367","5.375","5.442","5.374","0.13%"
"03/28/2024","5.360","5.433","5.474","5.372","-0.06%"
"03/27/2024","5.363","5.386","5.399","5.375","-0.06%"
"03/26/2024","5.366","5.402","5.402","5.379","-0.11%"
"03/25/2024","5.372","5.422","5.468","5.382","0.07%"
"03/22/2024","5.368","5.463","5.495","5.380","-0.24%"
"03/21/2024","5.381","5.456","5.531","5.393","0.00%"
"03/20/2024","5.381","5.467","5.480","5.394","-0.11%"
"03/19/2024","5.387","5.428","5.428","5.400","0.04%"
"03/18/2024","5.385","5.469","5.503","5.400","-0.07%"
"03/15/2024","5.389","5.479","5.549","5.401","-0.13%"
"03/14/2024","5.396","5.477","5.508","5.401","0.07%"
"03/13/2024","5.392","5.404","5.454","5.404","0.06%"
"03/12/2024","5.389","5.420","5.420","5.392","-0.07%"
"03/11/2024","5.393","5.409","5.465","5.392","0.28%"
"03/08/2024","5.378","5.403","5.450","5.385","-0.09%"
"03/07/2024","5.383","5.412","5.489","5.393","0.07%"
"03/06/2024","5.379","5.396","5.399","5.391","0.00%"
"03/05/2024","5.379","5.403","5.428","5.389","0.17%"
"03/04/2024","5.370","5.411","5.457","5.371","0.09%"